kode_prop,propinsi,kode_kab_kota,kabupaten_kota,kode_kec,kecamatan,id,npsn,sekolah,bentuk,status,alamat_jalan,lintang,bujur
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16006,Kec. Kemayoran,40F8A694-2BF5-E011-8CB9-5166A0EA0DF1,20104624,SD NEGERI KEMAYORAN 13 PG,SD,N,Jl. Kemayoran Tengah,-6.1612,106.8539
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16003,Kec. Senen,00C69F94-2BF5-E011-98F8-154ADB70C14F,20100477,SDN Paseban 09 Pg.,SD,N,Jl. Salemba Tengah I/ 21,-6.1932,106.8552
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16007,Kec. Sawah Besar,6003A994-2BF5-E011-8244-2D0D92E3D3D7,20100517,SDN KARANG ANYAR 07 PAGI,SD,N,Jl. Karang Anyar IX / 17,-6.1516,106.8276
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16004,Kec. Johar Baru,A04BA294-2BF5-E011-9CE0-ABA24471AB5D,20104548,SD NEGERI JOHAR BARU 13 PAGI,SD,N,Jl. Kramat Jaya Gg. 8,-6.1828,106.8519
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16006,Kec. Kemayoran,2063A794-2BF5-E011-8AD4-23B5D868290B,20104679,SD NEGERI SERDANG 05 PAGI,SD,N,JL. EKA V RT 009 / 03,-6.1615,106.86
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16007,Kec. Sawah Besar,E0DB8A95-2BF5-E011-96A0-A176EAD6F984,20104821,SDS Santo Yoseph,SD,S,Jl. Dwi Warna Raya No. 1 - 3,-6.1868,106.8446
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16002,Kec. Menteng,7F75B023-45E3-4C78-B915-7CFAE371918C,20100170,SMAS KANISIUS JAKARTA,SMA,S,JL. MENTENG RAYA 64 JAKARTA,-6.1855,106.8353
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16001,Kec. Tanah Abang,607F0796-2BF5-E011-BD97-31B01ADD883B,20100328,SMP ISLAM SAID NA UM,SMP,S,Jl. KH. Mas Mansyur No. 25,-6.1915,106.8162
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16002,Kec. Menteng,E0DA0796-2BF5-E011-9F58-B36186D7ED2A,20106351,SMP AL MAMUR,SMP,S,Jl. Raden Saleh No. 30,-6.1914,106.8248
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16004,Kec. Johar Baru,8017A294-2BF5-E011-8C66-4184734245EA,20104544,SD NEGERI JOHAR BARU 07 PAGI,SD,N,Jl. Percetakan Negara II,-6.1856,106.8566
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16006,Kec. Kemayoran,D036A694-2BF5-E011-B419-D59E2DDBC8F0,20104601,SD NEGERI KEBON KOSONG 14 PG,SD,N,Jl. Ketapang Baru II,-6.1628,106.8511
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16006,Kec. Kemayoran,FBEFFAE4-7D8B-49E8-8BD2-BAD38A4A0EDD,20100141,SMKS MUHAMMADIYAH 11 JAKARTA,SMK,S,JL. CEMPAKA WANGI II/12,-6.1679,106.8566
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16008,Kec. Gambir,4015AB94-2BF5-E011-BCF1-BBF48301E053,20104590,SDN Kebon Kelapa 02 Pg.,SD,N,Jl. Batu Tulis Raya XIII/20,-6.165,106.8219
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16008,Kec. Gambir,50600B96-2BF5-E011-B89C-DF9BAD0A4515,20100292,SMP Al-Irsyad Al-Islamiyah,SMP,S,Jl. KH. Hasyim Ashari No. 27,-6.1654,106.8152
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16007,Kec. Sawah Besar,A0DAA894-2BF5-E011-B11D-A9916137D0C9,20100515,SD NEGERI KARANG ANYAR 04 PT,SD,N,JL. KARANG ANYAR IX/17,-6.1516,106.8275
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16001,Kec. Tanah Abang,419024A1-6724-4415-A661-8C575ED5F247,NP567838,SDS JAKARTA WORLD ACADEMY,SD,S,JL. MH THAMRIN NO.10 RT 009/020 PODIUM ANZ SQUARE,-6.206779,106.805381
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16004,Kec. Johar Baru,E0028895-2BF5-E011-95B1-7F9B29FDE5BD,20104796,SDS PUI,SD,S,Jl. Galur Jaya No. 16,-6.177,106.8546
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16006,Kec. Kemayoran,3056A594-2BF5-E011-A59D-5D2CA7FE42EC,20104491,SD NEGERI CEMPAKA BARU 13 PAGI,SD,N,Jl. Remaja II Rt 005/08 No. 57,-6.1658,106.8631
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16006,Kec. Kemayoran,C048A594-2BF5-E011-96E5-4390F8AA82D8,20104490,SD NEGERI CEMPAKA BARU 12 PAGI,SD,N,Jl. Remaja II,-6.1658,106.863
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16002,Kec. Menteng,60438695-2BF5-E011-92A2-2F55909A0626,20109442,SD ADVENT MENTENG,SD,S,Jl. Sawo No.27,-6.1948,106.8354
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16006,Kec. Kemayoran,007DA794-2BF5-E011-BA54-C9242125A822,20104681,SD NEGERI SERDANG 07 PAGI,SD,N,Jl. Kampung Irian II,-6.1565,106.8614
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16001,Kec. Tanah Abang,60E58595-2BF5-E011-BE21-236297A294AC,20104791,SDS Nasional I Pg.,SD,S,Jl. Martapura Ujung No.1A,-6.201,106.8195
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16005,Kec. Cempaka Putih,F078F782-4294-40BC-B818-B84E27C5C9D9,69863239,SMP TAMAN SISWA,SMP,S,JL. PERCETAKAN NEGARA VIII/ 6,-6.190506,106.869879
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16006,Kec. Kemayoran,C02E8A95-2BF5-E011-B50C-7BD8B1AC8946,20104826,SDS TAMAN SISWA,SD,S,Jl. Garuda No.25,-6.2038,106.8546
